,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,micro avg,macro avg,weighted avg,samples avg
precision,0.030797101449275364,0.0009532888465204957,0.0,0.0,0.003703703703703704,0.001625487646293888,0.01625507971241013,0.016548463356973995,0.0029578506285432584,0.14768552534900808,0.0024746349913387774,0.034166872988363454,0.023521505376344086,0.004975124378109453,0.001293103448275862,0.0,0.0030349013657056147,0.022448979591836733,0.10889929742388758,0.009615384615384616,0.0,0.0007584376185058779,0.001394700139470014,0.0020325203252032522,0.0,0.0028591851322373124,0.0004791566842357451,0.0379746835443038,0.03557567917205692,0.003849114703618168,0.010002857959416977,0.008403361344537815,0.012581344902386117,0.009057363300905737,0.07752808988764046,0.033424657534246574,0.06563161609033169,0.011355034065102196,0.019287833827893175,0.005308880308880309,0.0,0.01110363391655451,0.0,0.0,0.0,0.07318536292741452,0.3142715067130781,0.023504273504273504,0.0,0.0,0.012549537648612946,0.0006957328385899814,0.0,0.0,0.05194805194805195,0.0,0.004151291512915129,0.009244992295839754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017077798861480076,0.01898888710611314,0.018115394416616307,0.1196272158548542,0.018955922373547984
recall,0.08854166666666667,0.8,0.0,0.0,0.18181818181818182,1.0,0.6419753086419753,0.9859154929577465,0.9230769230769231,0.7269439421338155,1.0,0.9857142857142858,0.5833333333333334,0.5,0.375,0.0,0.3333333333333333,0.07971014492753623,0.42018072289156627,0.09375,0.0,1.0,0.5,0.6,0.0,0.4,0.1,0.02830188679245283,0.6707317073170732,1.0,0.7608695652173914,0.21951219512195122,0.5,0.6428571428571429,0.2490974729241877,0.40939597315436244,0.28615384615384615,0.35294117647058826,0.52,1.0,0.0,0.825,0.0,0.0,0.0,0.7197640117994101,0.38988278840222085,0.8543689320388349,0.0,0.0,0.4318181818181818,1.0,0.0,0.0,0.0163265306122449,0.0,1.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.41155125491381916,0.35262072307700487,0.41155125491381916,0.4273151334403915
f1-score,0.0456989247311828,0.0019043084979766722,0.0,0.0,0.007259528130671506,0.0032456994482310936,0.03170731707317073,0.032550569634968614,0.005896805896805897,0.24549618320610686,0.004937052579609973,0.06604450825556353,0.04521963824289406,0.009852216748768473,0.002577319587628866,0.0,0.006015037593984963,0.03503184713375796,0.17296962182269063,0.01744186046511628,0.0,0.0015157256536566881,0.0027816411682892906,0.004051316677920324,0.0,0.0056777856635912,0.0009537434430138292,0.032432432432432434,0.06756756756756757,0.007668711656441718,0.019746121297602257,0.01618705035971223,0.02454506982649175,0.017863049950380416,0.11825192802056556,0.06180344478216818,0.10677382319173363,0.022002200220022004,0.03719599427753934,0.01056168987037926,0.0,0.021912350597609563,0.0,0.0,0.0,0.1328614211815954,0.34801762114537443,0.045749935014296854,0.0,0.0,0.024390243902439025,0.0013904982618771727,0.0,0.0,0.024844720496894408,0.0,0.008268259072117593,0.01817264008076729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03237410071942446,0.03630277205406739,0.027456472191282152,0.15302138114491293,0.03587198702462413
support,192.0,5.0,2.0,0.0,11.0,5.0,81.0,71.0,13.0,553.0,10.0,140.0,120.0,14.0,8.0,0.0,18.0,138.0,664.0,32.0,52.0,2.0,4.0,5.0,0.0,10.0,10.0,212.0,164.0,15.0,46.0,41.0,58.0,42.0,277.0,149.0,325.0,85.0,50.0,22.0,0.0,40.0,0.0,434.0,0.0,339.0,1621.0,103.0,0.0,6.0,88.0,3.0,0.0,2.0,245.0,0.0,18.0,34.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6614.0,6614.0,6614.0,6614.0
